iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
AFG,Asia,Afghanistan,24-02-2020,5,5,,,39835428
AFG,Asia,Afghanistan,25-02-2020,5,0,,,39835428
AFG,Asia,Afghanistan,26-02-2020,5,0,,,39835428
AFG,Asia,Afghanistan,27-02-2020,5,0,,,39835428
AFG,Asia,Afghanistan,28-02-2020,5,0,,,39835428
AFG,Asia,Afghanistan,29-02-2020,5,0,,,39835428
AFG,Asia,Afghanistan,01-03-2020,5,0,,,39835428
AFG,Asia,Afghanistan,02-03-2020,5,0,,,39835428
AFG,Asia,Afghanistan,03-03-2020,5,0,,,39835428
AFG,Asia,Afghanistan,04-03-2020,5,0,,,39835428
AFG,Asia,Afghanistan,05-03-2020,5,0,,,39835428
AFG,Asia,Afghanistan,06-03-2020,5,0,,,39835428
AFG,Asia,Afghanistan,07-03-2020,8,3,,,39835428
AFG,Asia,Afghanistan,08-03-2020,8,0,,,39835428
AFG,Asia,Afghanistan,09-03-2020,8,0,,,39835428
AFG,Asia,Afghanistan,10-03-2020,8,0,,,39835428
AFG,Asia,Afghanistan,11-03-2020,11,3,,,39835428
AFG,Asia,Afghanistan,12-03-2020,11,0,,,39835428
AFG,Asia,Afghanistan,13-03-2020,11,0,,,39835428
AFG,Asia,Afghanistan,14-03-2020,14,3,,,39835428
AFG,Asia,Afghanistan,15-03-2020,20,6,,,39835428
AFG,Asia,Afghanistan,16-03-2020,25,5,,,39835428
AFG,Asia,Afghanistan,17-03-2020,26,1,,,39835428
AFG,Asia,Afghanistan,18-03-2020,26,0,,,39835428
AFG,Asia,Afghanistan,19-03-2020,26,0,,,39835428
AFG,Asia,Afghanistan,20-03-2020,24,,,,39835428
AFG,Asia,Afghanistan,21-03-2020,24,0,,,39835428
AFG,Asia,Afghanistan,22-03-2020,34,10,,,39835428
AFG,Asia,Afghanistan,23-03-2020,40,6,1,1,39835428
AFG,Asia,Afghanistan,24-03-2020,42,2,1,0,39835428
AFG,Asia,Afghanistan,25-03-2020,74,32,1,0,39835428
AFG,Asia,Afghanistan,26-03-2020,80,6,2,1,39835428
AFG,Asia,Afghanistan,27-03-2020,91,11,2,0,39835428
AFG,Asia,Afghanistan,28-03-2020,106,15,2,0,39835428
AFG,Asia,Afghanistan,29-03-2020,60.70053476,9.507296089,,,39835428
AFG,Asia,Afghanistan,30-03-2020,62.86325439,9.858389554,,,39835428
AFG,Asia,Afghanistan,31-03-2020,65.02597403,10.20948302,,,39835428
AFG,Asia,Afghanistan,01-04-2020,67.18869366,10.56057649,,,39835428
AFG,Asia,Afghanistan,02-04-2020,69.35141329,10.91166995,,,39835428
AFG,Asia,Afghanistan,03-04-2020,71.51413293,11.26276342,,,39835428
AFG,Europe,Andorra,13-12-2020,7338,50,79,1,77354
AND,Europe,Andorra,14-12-2020,7382,44,79,0,77354
AND,Europe,Andorra,15-12-2020,7382,0,79,0,77354
