iso_code,continent,location,date,total_cases,people_vaccinated,people_fully_vaccinated,total_boosters,population,population_density,median_age,total_deaths
AFG,Asia,Afghanistan,24-02-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,25-02-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,26-02-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,27-02-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,28-02-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,29-02-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,01-03-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,02-03-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,03-03-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,04-03-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,05-03-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,06-03-2020,5,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,07-03-2020,8,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,08-03-2020,8,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,09-03-2020,8,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,10-03-2020,8,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,11-03-2020,11,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,12-03-2020,11,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,13-03-2020,11,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,14-03-2020,14,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,15-03-2020,20,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,16-03-2020,25,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,17-03-2020,26,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,18-03-2020,26,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,19-03-2020,26,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,20-03-2020,24,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,21-03-2020,24,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,22-03-2020,34,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,23-03-2020,40,,,,39835428,54.422,18.6,1
AFG,Asia,Afghanistan,24-03-2020,42,,,,39835428,54.422,18.6,1
AFG,Asia,Afghanistan,25-03-2020,74,,,,39835428,54.422,18.6,1
AFG,Asia,Afghanistan,26-03-2020,80,,,,39835428,54.422,18.6,2
AFG,Asia,Afghanistan,27-03-2020,91,,,,39835428,54.422,18.6,2
AFG,Asia,Afghanistan,28-03-2020,106,,,,39835428,54.422,18.6,2
AFG,Asia,Afghanistan,29-03-2020,114,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,30-03-2020,114,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,31-03-2020,166,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,01-04-2020,192,,,,39835428,54.422,18.6,
AFG,Asia,Afghanistan,02-04-2020,235,,,,39835428,54.422,18.6,
BDI,Africa,Burundi,20-07-2020,322,,,,12255429,423.062,17.5,
BDI,Africa,Burundi,21-07-2020,328,,,,12255429,423.062,17.5,5
BDI,Africa,Burundi,22-07-2020,328,,,,12255429,423.062,17.5,7
BDI,Africa,Burundi,23-07-2020,345,,,,12255429,423.062,17.5,7
BDI,Africa,Burundi,24-07-2020,345,,,,12255429,423.062,17.5,11
BDI,Africa,Burundi,25-07-2020,361,,,,12255429,423.062,17.5,14
BDI,Africa,Burundi,26-07-2020,361,,,,12255429,423.062,17.5,15
BDI,Africa,Burundi,27-07-2020,378,,,,12255429,423.062,17.5,15
BDI,Africa,Burundi,28-07-2020,378,,,,12255429,423.062,17.5,15
BDI,Africa,Burundi,29-07-2020,387,,,,12255429,423.062,17.5,18
BDI,Africa,Burundi,30-07-2020,387,,,,12255429,423.062,17.5,19
BDI,Africa,Burundi,31-07-2020,387,,,,12255429,423.062,17.5,22
BDI,Africa,Burundi,01-08-2020,395,,,,12255429,423.062,17.5,25
BDI,Africa,Burundi,02-08-2020,395,,,,12255429,423.062,17.5,29
BDI,Africa,Burundi,03-08-2020,395,,,,12255429,423.062,17.5,30
BDI,Africa,Burundi,04-08-2020,395,,,,12255429,423.062,17.5,30
BDI,Africa,Burundi,05-08-2020,395,,,,12255429,423.062,17.5,30
BDI,Africa,Burundi,06-08-2020,400,,,,12255429,423.062,17.5,33
BDI,Africa,Burundi,07-08-2020,400,,,,12255429,423.062,17.5,36
BDI,Africa,Burundi,08-08-2020,405,,,,12255429,423.062,17.5,36
BDI,Africa,Burundi,09-08-2020,408,,,,12255429,423.062,17.5,40
BDI,Africa,Burundi,10-08-2020,408,,,,12255429,423.062,17.5,40
BDI,Africa,Burundi,11-08-2020,408,,,,12255429,423.062,17.5,43
BDI,Africa,Burundi,12-08-2020,409,,,,12255429,423.062,17.5,49
BDI,Africa,Burundi,13-08-2020,410,,,,12255429,423.062,17.5,50
BDI,Africa,Burundi,14-08-2020,412,,,,12255429,423.062,17.5,60
BDI,Africa,Burundi,15-08-2020,412,,,,12255429,423.062,17.5,60
BDI,Africa,Burundi,16-08-2020,413,,,,12255429,423.062,17.5,60
BDI,Africa,Burundi,17-08-2020,413,,,,12255429,423.062,17.5,64
BDI,Africa,Burundi,18-08-2020,416,,,,12255429,423.062,17.5,72
BDI,Africa,Burundi,19-08-2020,422,,,,12255429,423.062,17.5,72
BDI,Africa,Burundi,20-08-2020,422,,,,12255429,423.062,17.5,72
BDI,Africa,Burundi,21-08-2020,426,,,,12255429,423.062,17.5,72
BDI,Africa,Burundi,22-08-2020,429,,,,12255429,423.062,17.5,95
BDI,Africa,Burundi,23-08-2020,430,,,,12255429,423.062,17.5,104
BDI,Africa,Burundi,24-08-2020,430,,,,12255429,423.062,17.5,105
